Année;Catégorie;Nom;Lauréat;Sexe;Pour
2012;Meilleure Musique Originale;-M-, Patrice Renson;Non;M;UN MONSTRE À PARIS
2010;Meilleur Court Métrage;¿DÓNDE ESTÁ KIM BASINGER?;Non;M;réalisé par Edouard Deluc
2000;Meilleur Court Métrage;CAMPING SAUVAGE;Non;M;réalisé par Abdel Kader Aoun, Giordano Gederlini
2003;Meilleur Court Métrage;CE VIEUX RÊVE QUI BOUGE;Non;M;réalisé par Alain Guiraudie
2010;Meilleur Court Métrage;LES WILLIAMS;Non;M;réalisé par Alban Mench
1999;Meilleur Court Métrage;TUEURS DE PETITS POISSONS;Non;M;réalisé par Alexandre Gavras
1994;Meilleur Court Métrage;EX MEMORIAM;Non;M;réalisé par Beriou
1992;Meilleur Court Métrage;25 DÉCEMBRE 1958, 10H36;Oui;F;réalisé par Diane Bertrand
1992;Meilleur Court Métrage;HAUT PAYS DES NEIGES;Non;M;réalisé par Bernard Palacios
1993;Meilleur Court Métrage;VERSAILLES, RIVE GAUCHE;Oui;M;réalisé par Bruno Podalydès
1995;Meilleur Film Étranger;4 MARIAGES ET UN ENTERREMENT;Oui;M;réalisé par Mike Newell
1994;Meilleur Court Métrage;EMPREINTES;Non;F;réalisé par Camille Guichard
2000;Meilleur Court Métrage;RUE BLEUE;Non;M;réalisé par Chad Chenouga
2010;Meilleur Court Métrage;SÉANCE FAMILIALE;Non;M;réalisé par Cheng-Chui Kuo
2010;Meilleur Court Métrage;C'EST GRATUIT POUR LES FILLES;Oui;F;réalisé par Claire Burger, Marie Amachoukeli
2007;Meilleur Court Métrage;AÏSSA;Non;M;réalisé par Clément Tréhin-Lalanne
1992;Meilleur Court Métrage;LA SAGA DES GLAISES;Non;M;réalisé par David Ferre, Olivier Thery Lapiney
1998;Meilleur Court Métrage;DES MAJORETTES DANS L'ESPACE;Oui;M;réalisé par David Fourier
2006;Meilleur Court Métrage;SOUS LE BLEU;Non;M;réalisé par David Oelhoffen
2000;Meilleur Court Métrage;SALE BATTARS;Oui;F;réalisé par Delphine Gleize
1995;Meilleur Court Métrage;LA VIS;Oui;M;réalisé par Didier Flamand
2008;Meilleur Réalisateur;Abdellatif Kechiche;Oui;M;LA GRAINE ET LE MULET
2005;Meilleur Réalisateur;Abdellatif Kechiche;Oui;M;L'ESQUIVE
2008;Meilleur Court Métrage;DEWENETI;Non;F;réalisé par Dyana Gaye
2008;Meilleur Scénario Original;Abdellatif Kechiche;Oui;M;LA GRAINE ET LE MULET
2003;Meilleur Court Métrage;CANDIDATURE;Non;M;réalisé par Emmanuel Bourdieu
1997;Meilleur Court Métrage;MME JACQUES SUR LA CROISETTE;Oui;M;réalisé par Emmanuel Finkiel
2015;Meilleur Réalisateur;Abderrahmane Sissako;Oui;M;TIMBUKTU
2001;Meilleur Court Métrage;UN PETIT AIR DE FÊTE;Oui;M;réalisé par Eric Guirado
2004;Meilleur Court Métrage;PACOTILLE;Non;M;réalisé par Éric Jameux
1998;Meilleur Court Métrage;SEULE;Non;M;réalisé par Erick Zonca
2002;Meilleur Court Métrage;AU PREMIER DIMANCHE D'AOÛT;Oui;M;réalisé par Florence Miailhe
1993;Meilleur Court Métrage;HAMMAM;Non;F;réalisé par Florence Miailhe
2014;Meilleur Espoir Féminin;Adèle Exarchopoulos;Oui;F;LA VIE D'ADÈLE CHAPITRES 1 & 2
2010;Meilleur Court Métrage;LA RAISON DE L'AUTRE;Non;M;réalisé par Foued Mansour
2015;Meilleure Actrice;Adèle Haenel;Oui;F;LES COMBATTANTS
2014;Meilleure Actrice dans un Second Rôle;Adèle Haenel;Oui;F;SUZANNE
1997;Meilleur Court Métrage;UNE ROBE D'ÉTÉ;Non;M;réalisé par François Ozon
2008;Meilleur Court Métrage;RACHEL;Non;M;réalisé par Frédéric Mermoud
2003;Meilleur Acteur;Adrien Brody;Oui;M;LE PIANISTE
2002;Meilleur Court Métrage;DES MORCEAUX DE MA FEMME;Non;M;réalisé par Frédéric Pelle
2004;Meilleur Court Métrage;LA CHATTE ANDALOUSE;Non;M;réalisé par Gérald Hustache-Mathieu
2003;Meilleur Court Métrage;PEAU DE VACHE;Oui;M;réalisé par Gérald Hustache-Mathieu
2005;Meilleur Court Métrage;LA MÉTHODE BOURCHNIKOV;Non;M;réalisé par Grégoire Sivan
2008;Meilleur Court Métrage;PREMIER VOYAGE;Non;M;réalisé par Grégoire Sivan
2000;Meilleur Court Métrage;ACIDE ANIMÉ;Non;M;réalisé par Guillaume Bréaud
1999;Meilleur Court Métrage;LA VACHE QUI VOULAIT SAUTER PAR DESSUS L'ÉGLISE;Non;M;réalisé par Guillaume Casset de Sacrafamès
2006;Meilleur Court Métrage;AFTER SHAVE;Oui;M;réalisé par Hany Tamba
2009;Meilleur Court Métrage;LES PARADIS PERDUS;Non;M;réalisé par Hélier Cisterne
1998;Meilleure Actrice dans un Second Rôle;Agnès Jaoui;Oui;F;ON CONNAÎT LA CHANSON
2016;Meilleure Actrice dans un Second Rôle;Agnès Jaoui;Non;F;COMME UN AVION
2001;Meilleure Actrice dans un Second Rôle;Agnès Jaoui;Non;F;LE GOÛT DES AUTRES
1997;Meilleure Actrice dans un Second Rôle;Agnès Jaoui;Non;F;UN AIR DE FAMILLE
2006;Meilleur Court Métrage;OBRAS;Non;M;réalisé par Hendrick Dusollier
1997;Meilleur Court Métrage;UN TAXI AOUZOU;Non;M;réalisé par Issa Serge Coelo
1996;Meilleur Court Métrage;CORPS INFLAMMABLES;Non;M;réalisé par Jacques Maillot
1984;Meilleure Actrice dans un Second Rôle;Agnès Soral;Non;F;TCHAO PANTIN
1992;Meilleur Court Métrage;HERMAN HEINZEL, ORNITHOLOGUE;Non;M;réalisé par Jacques Mitsch
2007;Meilleur Court Métrage;LE MAMMOUTH POBALSKI;Non;M;réalisé par Jacques Mitsch
1996;Meilleur Court Métrage;LE BUS;Non;M;réalisé par Jean-Luc Gaget
1998;Meilleur Court Métrage;TOUT DOIT DISPARAÎTRE;Non;M;réalisé par Jean-Marc Moutout
2009;Meilleur Court Métrage;SKHIZEIN;Non;M;réalisé par Jérémy Clapin
2001;Meilleur Court Métrage;LE PUITS;Non;M;réalisé par Jérôme Boulbes
1995;Meilleur Court Métrage;ELLES;Non;F;réalisé par Joanna Quinn
2002;Meilleur Court Métrage;LA POMME, LA FIGUE ET L'AMANDE;Non;M;réalisé par Joël Brisse
1999;Meilleur Court Métrage;LES PINCES À LINGE;Non;M;réalisé par Joël Brisse
2004;Meilleur Court Métrage;L'HOMME SANS TÊTE;Oui;M;réalisé par Juan Solanas
2001;Meilleur Court Métrage;AU BOUT DU MONDE;Non;M;réalisé par Konstantin Bronzit
2007;Meilleur Acteur;Alain Chabat;Non;M;PRÊTE-MOI TA MAIN
1998;Meilleur Acteur;Alain Chabat;Non;M;DIDIER
1996;Meilleur Acteur;Alain Chabat;Non;M;GAZON MAUDIT
2001;Meilleur Acteur dans un Second Rôle;Alain Chabat;Non;M;LE GOÛT DES AUTRES
2006;Meilleur Court Métrage;LA PEUR, PETIT CHASSEUR;Non;M;réalisé par Laurent Achard
1998;Meilleur Court Métrage;FERRAILLES;Non;M;réalisé par Laurent Pouvaret
2003;Meilleur Court Métrage;SQUASH;Non;M;réalisé par Lionel Bailliu
2009;Meilleur Court Métrage;TAXI WALA;Non;F;réalisé par Lola Frederich
1996;Meilleur Court Métrage;ROLAND;Non;M;réalisé par Lucien Dirat
1999;Meilleur Court Métrage;LA VIEILLE BARRIÈRE;Non;M;réalisé par Lyèce Boukhitine
1989;Meilleur Acteur dans un Second Rôle;Alain Cuny;Non;M;CAMILLE CLAUDEL
2007;Meilleur Court Métrage;LES VOLETS;Non;M;réalisé par Lyèce Boukhitine
1985;Meilleur Acteur;Alain Delon;Oui;M;NOTRE HISTOIRE
1978;Meilleur Acteur;Alain Delon;Non;M;MORT D'UN POURRI
1977;Meilleur Acteur;Alain Delon;Non;M;MONSIEUR KLEIN
2005;Meilleur Court Métrage;COUSINES;Oui;M;réalisé par Lyes Salem
2007;Meilleur Court Métrage;BONBON AU POIVRE;Non;M;réalisé par Marc Fitoussi
2007;Meilleur Court Métrage;FAIS DE BEAUX RÊVES;Oui;F;réalisé par Marilyne Canto
2008;Meilleur Court Métrage;LA PROMENADE;Non;F;réalisé par Marina de Van
2007;Meilleur Court Métrage;LA LEÇON DE GUITARE;Non;M;réalisé par Martin Rit
1996;Meilleur Court Métrage;LE MOINE ET LE POISSON;Oui;M;réalisé par Michael Dudok de Wit
2005;Meilleur Court Métrage;LES PARALLÈLES;Non;M;réalisé par Nicolas Saada
1994;Meilleur Court Métrage;GUEULE D'ATMOSPHÈRE;Oui;M;réalisé par Olivier Péray
1994;Meilleur Court Métrage;COMMENT FONT LES GENS;Non;F;réalisé par Pascale Bailly
2002;Meilleur Court Métrage;LES FILLES DU DOUZE;Non;F;réalisé par Pascale Breton
1997;Meilleur Court Métrage;UNE VISITE;Non;M;réalisé par Philippe Harel
2004;Meilleur Court Métrage;J'ATTENDRAI LE SUIVANT;Non;M;réalisé par Philippe Orreindy
2008;Meilleur Court Métrage;LE MOZART DES PICKPOCKETS;Oui;M;réalisé par Philippe Pollet-Villard
1984;Meilleur Acteur;Alain Souchon;Non;M;L'ÉTÉ MEURTRIER
1981;Meilleur Acteur dans un Second Rôle;Alain Souchon;Non;M;JE VOUS AIME
2009;Meilleur Court Métrage;LES MIETTES;Oui;M;réalisé par Pierre Pinaud
2014;Meilleur Acteur;Albert Dupontel;Non;M;9 MOIS FERME
2009;Meilleur Acteur;Albert Dupontel;Non;M;DEUX JOURS À TUER
2000;Meilleur Acteur;Albert Dupontel;Non;M;LA MALADIE DE SACHS
1997;Meilleur Acteur dans un Second Rôle;Albert Dupontel;Non;M;UN HÉROS TRÈS DISCRET
2002;Meilleur Court Métrage;MILLEVACHES (EXPÉRIENCE);Non;M;réalisé par Pierre Vinour
2009;Meilleur Court Métrage;UNE LEÇON PARTICULIÈRE;Non;M;réalisé par Raphaël Chevènement
2000;Meilleur Court Métrage;À L'OMBRE DES GRANDS BAOBABS;Non;M;réalisé par Rémy Tamalet
1993;Meilleur Court Métrage;OMNIBUS;Non;M;réalisé par Sam Karmann
1993;Meilleur Court Métrage;LE BALAYEUR;Non;M;réalisé par Serge Elissalde
2001;Meilleur Court Métrage;SALAM;Oui;F;réalisé par Souad El Bouhati
2005;Meilleur Court Métrage;HYMNE À LA GAZELLE;Non;F;réalisé par Stéphanie Duvivier
1998;Meilleur Court Métrage;LA VIEILLE DAME ET LES PIGEONS;Non;M;réalisé par Sylvain Chomet
1995;Meilleur Court Métrage;DEUS EX MACHINA;Non;M;réalisé par Vincent Mayrand
1997;Meilleur Court Métrage;DIALOGUE AU SOMMET;Non;M;réalisé par Xavier Giannoli
1999;Meilleur Court Métrage;L'INTERVIEW;Oui;M;réalisé par Xavier Giannoli
1995;Meilleur Court Métrage;EMILIE MULLER;Non;M;réalisé par Yvon Marciano
1982;Meilleur Court Métrage d'Animation;L'ÉCHELLE;Non;M;réalisé par Alain Ughetto
1985;Meilleur Court Métrage d'Animation;LA BOULE;Oui;M;réalisé par Alain Ughetto
1982;Meilleur Court Métrage d'Animation;TROIS THÈMES;Non;M;réalisé par Alexis Alexeieff
1980;Meilleur Court Métrage d'Animation;LES TROUBLES FÊTE;Non;M;réalisé par Bernard Palacios
1977;Meilleur Court Métrage d'Animation;OISEAU DE NUIT;Non;M;réalisé par Bernard Palacios
1988;Meilleur Court Métrage d'Animation;TRANSATLANTIQUE;Non;F;réalisé par Brune Krebs
1989;Meilleur Court Métrage d'Animation;LE TRAVAIL DU FER;Non;F;réalisé par Celia Canning, Nery Catineau
1989;Meilleur Court Métrage d'Animation;L'ESCALIER CHIMÉRIQUE;Oui;M;réalisé par Daniel Guyonnet
1978;Meilleur Court Métrage d'Animation;KUBRIK À BRAC;Non;M;réalisé par Dominique Rocher
1983;Meilleur Court Métrage d'Animation;CHRONIQUE 1909;Non;M;réalisé par Gaétan Brizzi, Paul Brizzi
1978;Meilleur Court Métrage d'Animation;FRACTURE;Non;M;réalisé par Gaétan Brizzi, Paul Brizzi
1978;Meilleur Court Métrage d'Animation;LA NICHÉE;Non;M;réalisé par Gérard Collin
1985;Meilleur Court Métrage d'Animation;L'INVITÉ;Non;M;réalisé par Guy Jacques
1977;Meilleur Court Métrage d'Animation;L'EMPREINTE;Non;M;réalisé par Jacques Cardon
1984;Meilleur Court Métrage d'Animation;LE SANG;Non;M;réalisé par Jacques Rouxel
1988;Meilleur Court Métrage d'Animation;LE PETIT CIRQUE DE TOUTES LES COULEURS;Oui;M;réalisé par Jacques-Rémy Girerd
1981;Meilleur Court Métrage d'Animation;LE RÉVEIL;Non;M;réalisé par Jean-Christophe Villard
1979;Meilleur Court Métrage d'Animation;LA TRAVERSÉE DE L'ATLANTIQUE À LA RAME;Oui;M;réalisé par Jean-François Laguionie
1990;Meilleur Court Métrage d'Animation;SCULPTURE, SCULPTURES;Non;M;réalisé par Jean-Loup Felicioli
1982;Meilleur Court Métrage d'Animation;LA TENDRESSE DU MAUDIT;Oui;M;réalisé par Jean-Manuel Costa
1984;Meilleur Court Métrage d'Animation;LE VOYAGE D'ORPHÉE;Oui;M;réalisé par Jean-Manuel Costa
1981;Meilleur Court Métrage d'Animation;LE MANÈGE;Oui;M;réalisé par Jean-Pierre Jeunet
1990;Meilleur Court Métrage d'Animation;LE PORTE PLUME;Oui;F;réalisé par Marie-Christine Perrodin
1977;Meilleur Court Métrage d'Animation;BACTÉRIES NOS AMIES;Non;M;réalisé par Michel Boschet
1980;Meilleur Court Métrage d'Animation;DEMAIN LA PETITE SERA EN RETARD À L'ÉCOLE;Oui;M;réalisé par Michel Boschet
1986;Meilleur Court Métrage d'Animation;LA CAMPAGNE EST SI BELLE;Non;M;réalisé par Michel Gauthier
1983;Meilleur Court Métrage d'Animation;SANS PRÉAVIS;Non;M;réalisé par Michel Gauthier
1983;Meilleur Court Métrage d'Animation;LA LÉGENDE DU PAUVRE BOSSU;Oui;M;réalisé par Michel Ocelot
1989;Meilleur Court Métrage d'Animation;LA PRINCESSE DES DIAMANTS;Non;M;réalisé par Michel Ocelot
1981;Meilleur Court Métrage d'Animation;LES TROIS INVENTEURS;Non;M;réalisé par Michel Ocelot
1980;Meilleur Court Métrage d'Animation;BARBE BLEUE;Non;M;réalisé par Olivier Gillon
1977;Meilleur Court Métrage d'Animation;DÉJEUNER DU MATIN;Non;M;réalisé par Patrice Bokanowski
1986;Meilleur Court Métrage d'Animation;L'ENFANT DE LA HAUTE MER;Oui;M;réalisé par Patrick Deniau
1977;Meilleur Court Métrage d'Animation;LA ROSETTE ARROSÉE;Non;M;réalisé par Paul Dopff
1979;Meilleur Court Métrage d'Animation;LE PHÉNOMÈNE;Non;M;réalisé par Paul Dopff
1978;Meilleur Court Métrage d'Animation;RÊVE;Oui;M;réalisé par Peter Földes
1984;Meilleur Court Métrage d'Animation;AU-DELÀ DE MINUIT;Non;M;réalisé par Pierre Barletta
1977;Meilleur Court Métrage d'Animation;UN COMÉDIEN SANS PARADOXE;Oui;M;réalisé par Robert Lapoujade
1978;Meilleur Court Métrage d'Animation;MORDILLISSIMO;Non;M;réalisé par Roger Beaurin
1985;Meilleur Court Métrage d'Animation;RA;Non;M;réalisé par Thierry Barthes, Pierre Jamin
1979;Meilleur Court Métrage d'Animation;L'ANATOMISTE;Non;M;réalisé par Yves Brangoleau
1986;Meilleur Court Métrage d'Animation;CONTES CRÉPUSCULAIRES;Non;M;réalisé par Yves Charnay
1982;Meilleur Court Métrage de Fiction;CHER ALEXANDRE;Non;F;réalisé par Anne Lemonier
1998;Meilleur Acteur;André Dussollier;Oui;M;ON CONNAÎT LA CHANSON
2002;Meilleur Acteur;André Dussollier;Non;M;TANGUY
1987;Meilleur Acteur;André Dussollier;Non;M;MÉLO
2002;Meilleur Acteur dans un Second Rôle;André Dussollier;Oui;M;LA CHAMBRE DES OFFICIERS
1993;Meilleur Acteur dans un Second Rôle;André Dussollier;Oui;M;UN COEUR EN HIVER
2007;Meilleur Acteur dans un Second Rôle;André Dussollier;Non;M;NE LE DIS À PERSONNE
2005;Meilleur Acteur dans un Second Rôle;André Dussollier;Non;M;36, QUAI DES ORFÈVRES
2000;Meilleur Acteur dans un Second Rôle;André Dussollier;Non;M;LES ENFANTS DU MARAIS
1981;Meilleur Court Métrage de Fiction;LE BRUIT DES JAMBES DE LUCIE;Non;F;réalisé par Anne Quesemand
1986;Meilleur Court Métrage de Fiction;LE LIVRE DE MARIE;Non;F;réalisé par Anne-Marie Mieville
2016;Meilleur Acteur dans un Second Rôle;André Marcon;Non;M;MARGUERITE
1981;Meilleur Court Métrage de Fiction;LA DÉCOUVERTE;Non;M;réalisé par Arthur Joffé
1983;Meilleur Court Métrage de Fiction;MERLIN OU LE COURS DE L'OR;Non;M;réalisé par Arthur Joffé
1986;Meilleur Court Métrage de Fiction;DIALOGUE DE SOURDS;Non;M;réalisé par Bernard Nauer
1986;Meilleur Court Métrage de Fiction;GROSSE;Oui;F;réalisé par Brigitte Roüan
1987;Meilleur Court Métrage de Fiction;ZAMBINELLA;Non;F;réalisé par Catherine Laine Galode
1990;Meilleur Court Métrage de Fiction;CE QUI ME MEUT;Non;M;réalisé par Cédric Klapisch
1987;Meilleur Court Métrage de Fiction;DEOBERNIQUE;Non;Mixte;réalisé par Celia Canning, Raymond Gourrier
1987;Meilleur Court Métrage de Fiction;ALGER LA BLANCHE;Non;M;réalisé par Cyril Collard
1981;Meilleure Actrice dans un Second Rôle;Andréa Ferréol;Non;F;LE DERNIER MÉTRO
1976;Meilleure Actrice dans un Second Rôle;Andréa Ferréol;Non;F;LES GALETTES DE PONT-AVEN
1978;Meilleur Court Métrage de Fiction;TEMPS SOUTERRAIN;Non;M;réalisé par David Andréas
1990;Meilleur Court Métrage de Fiction;VOL NUPTIAL;Non;F;réalisé par Dominique Crevecoeur
1981;Meilleur Court Métrage de Fiction;TOINE;Oui;M;réalisé par Edmond Sechan
1988;Meilleure Actrice;Anémone;Oui;F;LE GRAND CHEMIN
1995;Meilleure Actrice;Anémone;Non;F;PAS TRÈS CATHOLIQUE
1993;Meilleure Actrice;Anémone;Non;F;LE PETIT PRINCE A DIT
1999;Meilleure Actrice dans un Second Rôle;Anémone;Non;F;LAUTREC
1986;Meilleure Actrice dans un Second Rôle;Anémone;Non;F;PÉRIL EN LA DEMEURE
1988;Meilleur Court Métrage de Fiction;PRÉSENCE FÉMININE;Oui;M;réalisé par Eric Rochant
1989;Meilleur Court Métrage de Fiction;BING BANG;Non;M;réalisé par Eric Woreth
1987;Meilleur Court Métrage de Fiction;LA POUPÉE QUI TOUSSE;Non;M;réalisé par Farid Lahouassa
1977;Meilleur Court Métrage de Fiction;COMMENT ÇA VA JE M'EN FOUS;Oui;F;réalisé par François de Roubaix
1988;Meilleure Actrice dans un Second Rôle;Anna Karina;Non;F;CAYENNE PALACE
1979;Meilleur Court Métrage de Fiction;L'ORNIÈRE;Non;M;réalisé par François Dupeyron
2011;Meilleure Actrice dans un Second Rôle;Anne Alvaro;Oui;F;LE BRUIT DES GLAÇONS
2001;Meilleure Actrice dans un Second Rôle;Anne Alvaro;Oui;F;LE GOÛT DES AUTRES
1989;Meilleur Court Métrage de Fiction;LAMENTO;Oui;M;réalisé par François Dupeyron
1991;Meilleure Actrice;Anne Brochet;Non;F;CYRANO DE BERGERAC
1992;Meilleure Actrice dans un Second Rôle;Anne Brochet;Oui;F;TOUS LES MATINS DU MONDE
2006;Meilleure Actrice;Anne Consigny;Non;F;JE NE SUIS PAS LÀ POUR ÊTRE AIMÉ
2017;Meilleure Actrice dans un Second Rôle;Anne Consigny;Non;F;ELLE
2010;Meilleure Actrice dans un Second Rôle;Anne Consigny;Non;F;RAPT
2009;Meilleure Actrice dans un Second Rôle;Anne Consigny;Non;F;UN CONTE DE NOËL
1978;Meilleur Court Métrage de Fiction;SAUF DIMANCHES ET FÊTES;Non;M;réalisé par François Ode
1977;Meilleur Court Métrage de Fiction;LA NUIT DU BEAU MARIN PEUT-ÊTRE;Non;M;réalisé par Frank Verpillat
1985;Meilleur Court Métrage de Fiction;OISEAU DE SANG;Non;M;réalisé par Frédéric Ripert
1977;Meilleur Court Métrage de Fiction;LE DESTIN DE JEAN-NOËL;Non;M;réalisé par Gabriel Auer
1987;Meilleur Court Métrage de Fiction;BEL RAGAZZO;Non;M;réalisé par Georges Bensoussan
1977;Meilleur Court Métrage de Fiction;L'HIVER APPROCHE;Non;M;réalisé par Georges Bensoussan
2012;Meilleure Actrice dans un Second Rôle;Anne le Ny;Non;F;INTOUCHABLES
1991;Meilleure Actrice;Anne Parillaud;Oui;F;NIKITA
1985;Meilleur Court Métrage de Fiction;HOMICIDE BY NIGHT;Non;M;réalisé par Gérard Krawczyk
1982;Meilleur Court Métrage de Fiction;THE SUBTIL CONCEPT;Non;M;réalisé par Gérard Krawczyk
1984;Meilleur Court Métrage de Fiction;TORO MORENO;Non;M;réalisé par Gérard Krawczyk
1977;Meilleure Actrice;Annie Girardot;Oui;F;DOCTEUR FRANÇOISE GAILLAND
1979;Meilleure Actrice;Annie Girardot;Non;F;LA CLÉ SUR LA PORTE
2002;Meilleure Actrice dans un Second Rôle;Annie Girardot;Oui;F;LA PIANISTE
1996;Meilleure Actrice dans un Second Rôle;Annie Girardot;Oui;F;LES MISÉRABLES
1980;Meilleur Court Métrage de Fiction;NUIT FÉLINE;Non;M;réalisé par Gérard Marx
1977;Meilleure Actrice dans un Second Rôle;Anny Duperey;Non;F;UN ÉLÉPHANT ÇA TROMPE ÉNORMÉMENT
1979;Meilleure Actrice;Anouk Aimée;Non;F;MON PREMIER AMOUR
1997;Meilleure Actrice;Anouk Grinberg;Non;F;MON HOMME
1994;Meilleure Actrice;Anouk Grinberg;Non;F;UN DEUX TROIS SOLEIL
1992;Meilleure Actrice;Anouk Grinberg;Non;F;MERCI LA VIE
1987;Meilleur Court Métrage de Fiction;LE BRIDGE;Non;M;réalisé par Gilles Dagneau
1991;Meilleur Court Métrage de Fiction;UHLOZ;Non;M;réalisé par Guy Jacques
1999;Meilleur Acteur;Antoine de Caunes;Non;M;L'HOMME EST UNE FEMME COMME LES AUTRES
1978;Meilleur Court Métrage de Fiction;500 GRAMMES DE FOIE DE VEAU;Oui;M;réalisé par Henri Glaeser
1987;Meilleur Court Métrage de Fiction;BOL DE JOUR;Non;M;réalisé par Henri Gruvman
1987;Meilleur Court Métrage de Fiction;UNE FILLE;Non;M;réalisé par Henri Herre
1978;Meilleur Court Métrage de Fiction;LE BLANC DES YEUX;Non;M;réalisé par Henry Colomer
1991;Meilleur Court Métrage de Fiction;FINAL;Non;M;réalisé par Irène Jouannet
1987;Meilleur Court Métrage de Fiction;JOSEPH M;Non;M;réalisé par Jacques Cluzaud
1986;Meilleur Court Métrage de Fiction;JUSTE AVANT LE MARIAGE;Non;M;réalisé par Jacques Deschamps
1982;Meilleur Court Métrage de Fiction;LES PHOTOS D'ALIX;Oui;M;réalisé par Jean Eustache
1988;Meilleur Court Métrage de Fiction;D'APRÈS MARIA;Non;M;réalisé par Jean-Claude Robert
2016;Meilleur Acteur;Antonythasan Jesuthasan;Non;M;DHEEPAN
1979;Meilleur Court Métrage de Fiction;LE CHIEN DE M. MICHEL;Non;M;réalisé par Jean-Jacques Beineix
1988;Meilleur Court Métrage de Fiction;PÉTITION;Non;M;réalisé par Jean-Louis Comolli
1977;Meilleur Court Métrage de Fiction;CHALEUR D'ÉTÉ;Non;M;réalisé par Jean-Louis Leconte
1977;Meilleur Court Métrage de Fiction;L'ENFANT PRISONNIER;Non;M;réalisé par Jean-Michel Carre
1978;Meilleur Court Métrage de Fiction;JE VEUX MOURIR POUR LA PATRIE;Non;M;réalisé par Jean-Paul Sartre, Mosco Boucault
1998;Meilleure Actrice;Ariane Ascaride;Oui;F;MARIUS ET JEANNETTE
2012;Meilleure Actrice;Ariane Ascaride;Non;F;LES NEIGES DU KILIMANDJARO
2003;Meilleure Actrice;Ariane Ascaride;Non;F;MARIE-JO ET SES DEUX AMOURS
2005;Meilleure Actrice dans un Second Rôle;Ariane Ascaride;Non;F;BRODEUSES
1991;Meilleur Court Métrage de Fiction;FOUTAISES;Oui;M;réalisé par Jean-Pierre Jeunet
1987;Meilleur Court Métrage de Fiction;BOCETTA REVIENT DE GUERRE;Non;M;réalisé par Jean-Pierre Sinapi
1982;Meilleur Court Métrage de Fiction;LE RAT NOIR D'AMÉRIQUE;Non;M;réalisé par Jérôme Enrico
1999;Meilleure Actrice dans un Second Rôle;Arielle Dombasle;Non;F;L'ENNUI
1979;Meilleure Actrice dans un Second Rôle;Arlette Bonnard;Non;F;UNE HISTOIRE SIMPLE
1987;Meilleur Court Métrage de Fiction;SUR LE TALUS;Non;F;réalisé par Laurence Ferreira Barbosa
1984;Meilleur Court Métrage de Fiction;COUP DE FEU;Non;F;réalisé par Magali Clement
1989;Meilleur Court Métrage de Fiction;UNE FEMME POUR L'HIVER;Non;M;réalisé par Manuel Fleche
1987;Meilleur Court Métrage de Fiction;LES ARCANDIERS;Non;M;réalisé par Manuel Sanchez
1987;Meilleur Court Métrage de Fiction;LE MAÎTRE CHANTEUR;Non;M;réalisé par Mathias Ledoux
1985;Meilleur Court Métrage de Fiction;PREMIÈRE CLASSE;Oui;M;réalisé par Mehdi El Glaoui
1989;Meilleur Court Métrage de Fiction;NEW YORK 1935;Non;F;réalisé par Michèle Ferrand-Lafaye
1984;Meilleur Court Métrage de Fiction;PANIQUE AU MONTAGE;Non;M;réalisé par Olivier Esmein
1987;Meilleur Court Métrage de Fiction;SYNTHÉTIQUE OPÉRETTE;Non;M;réalisé par Olivier Esmein
1981;Meilleur Court Métrage de Fiction;VIVE LA MARIÉE;Non;M;réalisé par Patrice Noïa
1990;Meilleur Court Métrage de Fiction;LUNE FROIDE;Oui;M;réalisé par Patrick Bouchitey
1983;Meilleur Court Métrage de Fiction;BLUFF;Oui;M;réalisé par Philippe Bensoussan
1991;Meilleur Court Métrage de Fiction;DEUX PIÈCES CUISINE;Non;M;réalisé par Philippe Harel
1985;Meilleur Court Métrage de Fiction;PREMIERS MÈTRES;Non;M;réalisé par Pierre Levy
1986;Meilleur Court Métrage de Fiction;LA CONSULTATION;Non;M;réalisé par Radovan Tadic
1980;Meilleur Court Métrage de Fiction;COLLOQUE DE CHIENS;Oui;M;réalisé par Raúl Ruiz
1980;Meilleur Court Métrage de Fiction;SIBYLLE;Non;M;réalisé par Robert Cappa
1987;Meilleur Court Métrage de Fiction;LA GOULA;Oui;M;réalisé par Roger Guillot
1979;Meilleur Court Métrage de Fiction;DÉGUSTATION MAISON;Oui;F;réalisé par Sophie Tatischeff
1987;Meilleur Court Métrage de Fiction;TORERO HALLUCINOGÈNE;Non;M;réalisé par Stéphane Clavier
1984;Meilleur Court Métrage de Fiction;STAR SUBURB;Oui;M;réalisé par Stéphane Drouot
1987;Meilleur Court Métrage de Fiction;PAULINE ÉPAULETTES;Non;F;réalisé par Stéphanie de Mareuil
1985;Meilleur Court Métrage de Fiction;LA COMBINE DE LA GIRAFE;Non;M;réalisé par Thomas Gilou
1983;Meilleur Court Métrage de Fiction;CANTA GITANO;Non;M;réalisé par Tony Gatlif
1987;Meilleur Court Métrage de Fiction;TRIPLE SEC;Non;M;réalisé par Yves Thomas
1983;Meilleur Court Métrage de Fiction;LA SAISIE;Non;M;réalisé par Yves-Noël François
1977;Meilleur Court Métrage Documentaire;RÉPONSES DE FEMMES;Non;F;réalisé par Agnès Varda
1984;Meilleur Court Métrage Documentaire;ULYSSE;Oui;F;réalisé par Agnès Varda
1983;Meilleur Court Métrage Documentaire;L'ANGE DE L'ABÎME;Non;F;réalisé par Annie Tresgot
