Année;Catégorie;Nom;Lauréat;Sexe;Pour
2006;Meilleur Réalisateur;Jean-Pierre Dardenne, Luc Dardenne;Non;M;L'ENFANT
2001;Meilleur Réalisateur;Jean-Pierre Denis;Non;M;LES BLESSURES ASSASSINES
2008;Meilleur Acteur dans un Second Rôle;Laurent Stocker;Non;M;ENSEMBLE, C'EST TOUT
2002;Meilleur Réalisateur;Jean-Pierre Jeunet;Oui;M;LE FABULEUX DESTIN D'AMÉLIE POULAIN
2005;Meilleur Réalisateur;Jean-Pierre Jeunet;Non;M;UN LONG DIMANCHE DE FIANÇAILLES
1980;Meilleur Réalisateur;Joseph Losey;Non;M;DON GIOVANNI
1977;Meilleur Réalisateur;Joseph Losey;Oui;M;MONSIEUR KLEIN
1996;Meilleur Réalisateur;Josiane Balasko;Non;F;GAZON MAUDIT
2008;Meilleur Réalisateur;Julian Schnabel;Non;M;LE SCAPHANDRE ET LE PAPILLON
1995;Meilleur Réalisateur;Krysztof Kieslowski;Non;M;TROIS COULEURS ROUGE
2009;Meilleur Réalisateur;Laurent Cantet;Non;M;ENTRE LES MURS
2013;Meilleur Réalisateur;Leos Carax;Non;M;HOLY MOTORS
2000;Meilleur Réalisateur;Luc Besson;Non;M;JEANNE D'ARC
1998;Meilleur Réalisateur;Luc Besson;Oui;M;LE CINQUIÈME ÉLÉMENT
1989;Meilleur Réalisateur;Luc Besson;Non;M;LE GRAND BLEU
1995;Meilleur Réalisateur;Luc Besson;Non;M;LÉON
1991;Meilleur Réalisateur;Luc Besson;Non;M;NIKITA
1986;Meilleur Réalisateur;Luc Besson;Non;M;SUBWAY
2010;Meilleur Réalisateur;Lucas Belvaux;Non;M;RAPT
2004;Meilleur Réalisateur;Lucas Belvaux;Non;M;UN COUPLE ÉPATANT CAVALE APRÈS LA VIE
1978;Meilleur Réalisateur;Luis Bunuel;Non;M;CET OBSCUR OBJET DU DÉSIR
2012;Meilleur Réalisateur;Maïwenn;Non;F;POLISSE
1998;Meilleur Réalisateur;Manuel Poirier;Non;M;WESTERN
2009;Meilleur Réalisateur;Martin Provost;Non;M;SÉRAPHINE
2011;Meilleur Réalisateur;Mathieu Amalric;Non;M;TOURNÉE
1996;Meilleur Réalisateur;Mathieu Kassovitz;Non;M;LA HAINE
2001;Meilleur Réalisateur;Mathieu Kassovitz;Non;M;LES RIVIÈRES POURPRES
1988;Meilleur Réalisateur;Maurice Pialat;Non;M;SOUS LE SOLEIL DE SATAN
1992;Meilleur Réalisateur;Maurice Pialat;Non;M;VAN GOGH
1989;Meilleur Réalisateur;Michel Deville;Non;M;LA LECTRICE
2000;Meilleur Réalisateur;Michel Deville;Non;M;LA MALADIE DE SACHS
1979;Meilleur Réalisateur;Michel Deville;Non;M;LE DOSSIER 51
1986;Meilleur Réalisateur;Michel Deville;Oui;M;PÉRIL EN LA DEMEURE
2012;Meilleur Réalisateur;Michel Hazanavicius;Oui;M;THE ARTIST
1990;Meilleur Réalisateur;Milos Forman;Non;M;VALMONT
2003;Meilleur Réalisateur;Nicolas Philibert;Non;M;ÊTRE ET AVOIR
1995;Meilleur Réalisateur;Nicole Garcia;Non;F;LE FILS PRÉFÉRÉ
1999;Meilleur Réalisateur;Nicole Garcia;Non;F;PLACE VENDÔME
