prénom;nom;Nom complet;pays;url;music short program;music free skating
;;Miriam ZIEGLER / Severin KIEFER;AUT;http://www.isuresults.com/bios/isufs00054366.htm;"I'm Gonna Be (500 Miles) from ""Sunshine on Leith"" (soundtrack) by Charlie & Craig Reid";Yellow by ColdplayFix You by Coldplay
;;Meagan DUHAMEL / Eric RADFORD;CAN;http://www.isuresults.com/bios/isufs00012877.htm;With Or Without You by U2 performed by April Meservy ft. Aaron Edson;Hometown Glory by Adele
;;Kirsten MOORE-TOWERS / Michael MARINARO;CAN;http://www.isuresults.com/bios/isufs00054470.htm;Sweet Dreams performed by Terez Montcalm Sweet Dreams performed by Escala;Un Ange Passe by Alain Lefevre
;;Julianne SEGUIN / Charlie BILODEAU;CAN;http://www.isuresults.com/bios/isufs00014584.htm;Everybody Wants to Rule the World performed by Lorde;Where's My Love by Syml
;;Cheng PENG / Yang JIN;CHN;http://www.isuresults.com/bios/isufs00055105.htm;"Assassin's Tango (from ""Mr. and Mrs. Smith"" soundtrack) by John Powell";The Butterfly Lovers' Violin Concerto by He Zhanhao, Chen Gang
;;Wenjing SUI / Cong HAN;CHN;http://www.isuresults.com/bios/isufs00012227.htm;Hallelujah by Leonard Cohen, performed by K.D. Lang;"Violin Fantasy on Puccini's Turandot by Vanessa-MaeNessun Dorma (from ""Turandot"") by Giacomo Puccini, performed by Luciano Pavarotti"
;;Xiaoyu YU / Hao ZHANG;CHN;http://www.isuresults.com/bios/isufs00055106.htm;Swan Lake by Petr I. Tchaikovski;"Jyn Erso & Hope Suite (from ""Rogue One: A Star Wars Story"") by Michael GiacchinoPrincess Leia (from ""Star Wars: A New Hope"") by John Williams"
;;Anna DUSKOVA / Martin BIDAR;CZE;http://www.isuresults.com/bios/isufs00014532.htm;LA 40 (Album: Tango Hereje) performed by The Mozart Tango Players;"Once Upon a Time (from ""Nouba"" - Cirque du Soleil)La Nouba (from ""Nouba"" - Cirque du Soleil)Pearl (from ""Kooza"" - Cirque du Soleil)Klezmer Moment (from ""Corteo"" - Cirque du Soleil)"
;;Vanessa JAMES / Morgan CIPRES;FRA;http://www.isuresults.com/bios/isufs00013733.htm;Make It Rain by Foy Vance performed by Ed Sheeran arranged by Maxime Rodriguez;Sound of Silence by Simon & Garfunkel performed by Disturbed, arranged by Maxime Rodriguez
;;Annika HOCKE / Ruben BLOMMAERT;GER;http://www.isuresults.com/bios/isufs00103049.htm;Big Spender;Romeo and Juliet (soundtrack) by Abel Korzeniowski
;;Aljona SAVCHENKO / Bruno MASSOT;GER;http://www.isuresults.com/bios/isufs00035319.htm;That Man performed by Caro Emerald;La Terre vue du ciel by Armand Amar, edited by Maxime Rodriguez
;;Paige CONNERS / Evgeni KRASNOPOLSKI;ISR;http://www.isuresults.com/bios/isufs00103080.htm;Ghost (musical);Schindler's List (soundtrack) by John Williams
;;Nicole DELLA MONICA / Matteo GUARISE;ITA;http://www.isuresults.com/bios/isufs00034093.htm;Magnificat by Marco Frisina performed by Mina;Tree of Life Suite by Roberto Cacciapaglia
;;Valentina MARCHEI / Ondrej HOTAREK;ITA;http://www.isuresults.com/bios/isufs00015040.htm;Tu vuo fa l'Americano by Renato Carosone;Amarcord by Nino Rota
;;Miu SUZAKI / Ryuichi KIHARA;JPN;http://www.isuresults.com/bios/isufs00035321.htm;Yuri on Ice (soundtrack) by Taro Umebayashi;Romeo and Juliet by Nino Rota
;;Kyueun KIM / Alex Kang Chan KAM;KOR;http://www.isuresults.com/bios/isufs00015257.htm;Historia De Un Amor;The Impossible Dream
;;Kristina ASTAKHOVA / Alexei ROGONOV;OAR;http://www.isuresults.com/bios/isufs00015019.htm;"Adagio For Strings by William Barber Lacrimosa (from ""Requiem in D Minor"") by Wolfgang Amadeus MozartO Fortuna (from ""Carmina Burana"") by Carl Orff";"Another Day Of Sun from ""La La Land"" (soundtrack) by Justin HurwitzCIty Of Stars from ""La La Land"" (soundtrack) by Justin HurwitzEpilogue from ""La La Land"" (soundtrack) by Justin Hurwitz"
;;Evgenia TARASOVA / Vladimir MOROZOV;OAR;http://www.isuresults.com/bios/isufs00054323.htm;Piano Concerto No. 2 by Sergei Rachmaninov;Candyman by Christina Aguilera, Linda PerryNasty Naughty Boy by Christina Aguilera, Linda PerryReady Teddy performed by Elvis Presley
;;Natalia ZABIIAKO / Alexander ENBERT;OAR;http://www.isuresults.com/bios/isufs00035212.htm;The Summer Knows (from “Summer of 42”) by Michel Legrand;Too Close by Alex Clare (Evan Duffy Cover) I love you much too much by Bob Zurke The Sleeping Beauty. Act 1-8. Pas d'action by Petr TchaikovskyThe Sleeping Beauty by Petr I. Tchaikovski
;;Tae Ok RYOM / Ju Sik KIM;PRK;http://www.isuresults.com/bios/isufs00015041.htm;A Day in the Life by Paul McCartney, John Lennon, performed by Jeff Beck;Je suis qu'une chanson by Diane Justler, performed by Ginette Reno
;;Alexa SCIMECA KNIERIM / Chris KNIERIM;USA;http://www.isuresults.com/bios/isufs00034201.htm;Come What May (Moulin Rouge soundtrack);Ghost - The Musical by David A. Stewart, Glen Ballard
